record_type	id	family	first_date	last_date	file_count	raw_log_count	result_count	prereg_count	artifact_file_count	source_count	measurement_class	current_status	evidence_or_result	canonical_reference	notes
experiment	A	A	2026-08-16	2026-08-16	12	0	0	0	2	7	실보드/직접 측정	`역사·실보드`	17명령 13.06→SLOTHY 11.07, 모델 약 11 | 소형 solver 실리콘 폐합	slothy-2stream/exp_a.s	
experiment	B	B	2026-08-16	2026-08-16	22	0	0	0	7	13	대장 참조	`역사`	당시 순차 727, 지퍼 681, solver 657 | 다른 세대임을 후속 감사로 확인; 최신 solver 우위로 재사용 금지	slothy-2stream/exp_b.log	
experiment	C	C	2026-08-16	2026-08-16	13	0	0	0	2	9	실보드/직접 측정	`역사·실보드`	fiat 1,130명령 순차 702→solver 630(−10.3%) | 실재료 초기 성과로 유지	slothy-2stream/exp_c.log	
experiment	D	D	2026-08-16	2026-08-16	13	0	0	0	2	9	실보드/직접 측정	`역사·실보드`	bit-interleaved 순차 636→solver 579(−9.0%) | 초기 진화 계보의 끝값으로 유지	slothy-2stream/exp_d.log	
experiment	E	E	2026-08-17	2026-08-20	14	0	0	0	2	10	실보드/직접 측정	플랜 A 희석의 역사 실측	실제 비율 1,573→1,521, 3.3%	slothy-2stream/exp_e.log	
experiment	F	F	2026-08-17	2026-08-20	16	0	0	0	2	12	대장 참조	현행 초기 solver 최선; 당시 −2.2%는 역사	solver 996, 지퍼 대비 −1.7%, 은닉 60%	slothy-2stream/exp_f.log	
experiment	G	G	2026-08-17	2026-08-20	0	0	0	0	0	0	대장 참조	초기 레지스터 예산 근거	MVE 베이스 5→3, 비용 0		
experiment	H	H	2026-08-17	2026-08-20	0	0	0	0	0	0	실보드/직접 측정	글루 단가의 역사 실측	pack+unpack 448 cyc/batch, 2.5%		
experiment	I	I	2026-08-17	2026-08-20	0	0	0	0	0	0	대장 참조	당시 빌드 역사값; 현행 같은 빌드 단가는 별도	yield3 287.6→326.5(+13.5%), spill 접근 187→233		
experiment	J	J	2026-08-17	2026-08-20	10	0	0	0	2	6	실보드/직접 측정	J 분모를 추정에서 실측으로 교체	A 310, B 752, seq 1,066, stitch 979; 은닉 28.1%, 노출 223	slothy-2stream/gen_exp_j.py	
experiment	K	K	2026-08-17	2026-08-20	0	0	0	0	0	0	대장 참조	과거 3,220/3,199은 출처 불명; 현행 3,206/3,219/2,943	3:3 굵은 교대≈순차, stitch 2,943		
experiment	L	L	2026-08-17	2026-08-20	9	0	0	0	2	5	대장 참조	파이프 공유 대조 유지	scalar×scalar 은닉 −1%; scalar×MVE NTT형 62%	slothy-2stream/gen_exp_l.py	
experiment	M	M	2026-08-17	2026-08-20	0	0	0	0	0	0	대장 참조	종단간 7.7/5.5/7.2%는 `파생`; 직접 E2E 아님	4:1 2,008→1,772, 8:1 3,256→3,010		
experiment	N	N	2026-08-17	2026-08-20	9	0	0	0	2	5	대장 참조	합성 클래스 발행 규칙 유지	veor/vldrw/rotate 99%, vstrw −1%	slothy-2stream/gen_exp_n.py	
experiment	O	O	2026-08-20	2026-08-20	1	0	0	0	0	1	실보드/직접 측정	`호스트·코드 생성`; 독립 보드 결과서 없음. 후속 T의 b0 재료로 흡수	생성기에서 GP base 0 gather/scatter 판 생성; instruction count 출력	slothy-2stream/mve_keccak.py	
experiment	P	P	2026-08-21	2026-08-30	11	1	0	0	2	5	대장 참조	LSU 경합 확인. 뱅크 자체는 동시 발행이 없어 측정 불능	scalar load×MVE load: 611+1,222→1,833, 은닉 0%; 뱅크별 최대 2 cyc	measure-harness/logs/2026-08-21_expP_bank.txt	
experiment	Q	Q	2026-08-21	2026-08-30	10	1	0	0	2	5	대장 참조	`242 cyc` 귀속 반증; 잔여 113은 미규명	121 `vstrw`→`vorr`: 노출 223→113, 직접 기여 110 cyc	measure-harness/logs/2026-08-21_expQ_nostore.txt	
experiment	R	R	2026-08-21	2026-08-21	2	1	0	1	0	0	대장 참조	미채택	A-pair 4:1·8:1 변화 ±1% 이내	measure-harness/2026-08-21_expR_2to1_prereg.md	
experiment	S	S	2026-08-21	2026-08-21	2	1	0	1	0	0	대장 참조	미채택	A-pair 4:1·8:1 변화 ±1% 이내	measure-harness/2026-08-21_expS_realratio_prereg.md	
experiment	T	T	2026-08-21	2026-08-30	11	1	0	1	2	5	대장 참조	전역 교체 금지; 중간 후보	no-yield+b0: scalar −15.89%, MVE +28.25%; 8:1만 +2.62%	measure-harness/2026-08-21_expT_b0_noyield_prereg.md	
experiment	U	U	2026-08-21	2026-08-30	16	2	0	1	2	8	대장 참조	직접 통합 전의 후보; AE2/AF가 대체	yield1+b1: 4:1 +0.68%, 8:1 +4.11%; E2E 8.89%는 투영	measure-harness/2026-08-21_expU_yield1_b1_prereg.md	
experiment	V	V	2026-08-21	2026-08-21	4	2	0	1	0	1	대장 참조	X/Y full-operation 차분이 raw 투영을 대체	forward 47.44%, inverse 49.98% standalone	measure-harness/2026-08-21_expV_ntt_attribution_prereg.md	
experiment	W	W	2026-08-21	2026-08-30	84	3	0	1	16	48	대장 참조	X/Y full-operation 차분이 raw 투영을 대체	forward 47.44%, inverse 49.98% standalone	measure-harness/2026-08-21_expW_pqmx_ntt_prereg.md	
experiment	X	X	2026-08-21	2026-08-21	8	4	0	1	0	3	대장 참조	직접 ML-KEM 통합 성공	NTT 합계 절감 18,772/16,177/24,204 cyc	measure-harness/2026-08-21_expX_pqmx_forward_integration_prereg.md	
experiment	Y	Y	2026-08-21	2026-08-30	19	3	0	1	2	11	대장 참조	직접 ML-KEM 통합 성공	NTT 합계 절감 18,772/16,177/24,204 cyc	measure-harness/2026-08-21_expY_pqmx_inverse_integration_prereg.md	
experiment	Z	Z	2026-08-21	2026-08-21	11	5	1	1	0	4	대장 참조	귀속량이며 제거 가능량이 아님; 한 파일명 아래 두 단계를 별도 보존	Z1은 X+Y 동시 보존, Z2는 staged profiler로 C8/C9 귀속	measure-harness/2026-08-21_expZ_results.md	
experiment	AA	A	2026-08-21	2026-08-21	7	2	1	1	0	3	대장 참조	직접 E2E 초기 기준; AL/CJ/CY가 누적 기준을 후속 대체	X/Y/C8 실제 X-Wing 2.85/1.54/3.25%	measure-harness/2026-08-21_expAA_AB_results.md	
experiment	AB	A	2026-08-21	2026-08-21	6	2	1	1	0	2	대장 참조	직접 E2E 초기 기준; AL/CJ/CY가 누적 기준을 후속 대체	X/Y/C8 실제 X-Wing 2.85/1.54/3.25%	measure-harness/2026-08-21_expAA_AB_results.md	
experiment	AC	A	2026-08-21	2026-08-21	21	4	1	1	0	9	종료/실패 판정	정확성 성공·성능 실패; U 직접 측정으로 인용 금지	b0+x4 직접 E2E −7.30/−7.64/−6.73%	measure-harness/2026-08-21_expAC_results.md	
experiment	AD	A	2026-08-22	2026-08-22	2	0	1	1	0	0	대장 참조	AC 원인 분해; 새 성능 대표값 아님	AC 손실을 x4 약 25k 이득과 b0 stitch 약 32.4k/X25519 손실로 분해	measure-harness/2026-08-22_expAD_results.md	
experiment	AE	A	2026-08-24	2026-08-24	10	1	0	1	0	8	대장 참조	잔여 ladder의 U만 dispatcher를 거쳐 단일변수 비교가 아님. 주 효과는 철회하고 AE→AE2 dispatcher 진단에만 사용	최초 staged U에서 U가 F보다 kg/enc/dec 206,092/730,410/206,994 cyc 느림	measure-harness/2026-08-24_expAE_true_u_endtoend_prereg.md	
experiment	AF	A	2026-08-24	2026-08-24	22	14	2	2	4	0	종료/실패 판정	정확성 성공·성능 실패; 현행 F/U 이미지의 기원	U를 ITCM에 놓은 같은작업 F→U: −1.98/−3.72/−1.88%	measure-harness/2026-08-24_expAF_pilot_rebaseline_results.md	
experiment	AG	A	2026-08-24	2026-08-24	12	2	1	1	8	0	대장 참조	solver가 manual보다 1.255% 빠름; B-full 657을 대체	현재 동일 입력: 순차 727.036, manual 662.35, solver 654.036	measure-harness/2026-08-24_expAG_results.md	
experiment	AI	A	2026-08-24	2026-08-24	13	2	1	1	7	2	대장 참조	U8 계산보다 배치·문맥 손실 진단; 빌드 간 수치 혼합 금지	encaps F→U 손실 구간 분해	measure-harness/2026-08-24_expAI_results.md	
experiment	AJ	A	2026-08-24	2026-08-24	10	2	1	1	5	1	대장 참조	강한 성공; AL에서 누적 확인	C9 MVE화: +1.46/+2.67/+4.66%	measure-harness/2026-08-24_expAJ_results.md	
experiment	AK	A	2026-08-24	2026-08-24	14	4	1	1	7	1	종료/실패 판정	AK1 기각, AK2 미채택, C9 v1 유지	AK1: scatter v2가 encaps/decaps 약 1.0~1.3 kcyc 회귀. AK2: ITCM 변화가 유효 기준 1,000 cyc 미달	measure-harness/2026-08-24_expAK_results.md	
experiment	AL	A	2026-08-24	2026-08-30	838	7	1	2	263	9	실보드/직접 측정	요인 분해 정본; 이후 draft-10 누적 대표는 CJ/CY	08-25 성공 실측. 같은-ELF 2×2: 4.29/4.16/7.71%; 상호작용≈0	measure-harness/2026-08-24_expAL_results.md	
experiment	AM	A	2026-08-25	2026-08-30	58	0	0	0	10	27	실보드/직접 측정	`호스트·정적`; mul-only 15%→E2E 10~12% 산술을 6.1%로 사전 정정	X25519 MVE whole-ladder 정적 설계, expAL 빌드 기준선 동결; 신규 보드 측정 없음	measure-harness/artifacts/2026-08-25_expAM1/expAM_micro.S	
experiment	AN	A	2026-08-25	2026-08-30	21	2	1	0	7	6	대장 참조	진단 분모; 절대 배포 성능 아님	AL cell-11 최상위 kg/enc/dec cycle 귀속	measure-harness/2026-08-25_expAN_results.md	
experiment	AO	A	2026-08-25	2026-08-30	21	2	1	0	8	5	대장 참조	초기 투영을 in-context로 확인	X-Wing 문맥 Keccak 단가와 호출 수 직접 계측	measure-harness/2026-08-25_expAO_results.md	
experiment	AP	A	2026-08-25	2026-08-30	34	2	1	0	11	5	대장 참조	C8/C9 채택 뒤 새 분해	ML-KEM을 Keccak/비-Keccak으로 재귀속	measure-harness/2026-08-25_expAP_results.md	
experiment	AQ	A	2026-08-25	2026-08-30	28	2	1	0	10	5	대장 참조	K14/K15 후보의 계측 근거	matacc absorb/squeeze/rejection+MAC 분해	measure-harness/2026-08-25_expAQ_results.md	
experiment	AR	A	2026-08-25	2026-08-30	34	2	1	0	12	5	대장 참조	probe 비용 한계와 함께 사용	X25519 field-op 호출 수·단가 계측; mul+sqr 74~77%	measure-harness/2026-08-25_expAR_results.md	
experiment	AS	A	2026-08-25	2026-08-30	17	2	1	0	9	5	대장 참조	후보 우선순위 근거	add/sub와 ladder 나머지 귀속	measure-harness/2026-08-25_expAS_results.md	
experiment	AT	A	2026-08-25	2026-08-30	17	2	0	1	7	7	대장 참조	PASS, 채택 가능	full X-Wing X06 통합	measure-harness/2026-08-25_expAT_x06_fixedbase_prereg.md	
experiment	AU	A	2026-08-26	2026-08-30	23	2	1	0	14	6	종료/실패 판정	실패. `harvest_ra8m1_expAU514.py`의 `514`는 `SLOT_N`이고 별도 AU514 실험이 아님	fixed-base A/B +13.30%, 사전 gate 25% 미달	measure-harness/2026-08-26_expAU_AT2_results.md	expAU514의 514는 SLOT_N
experiment	AV	A	2026-08-26	2026-08-26	16	4	1	1	10	0	대장 참조	gate PASS	native ABI fixed-base +26.80%	measure-harness/2026-08-26_expAV_results.md	
experiment	AW	A	2026-08-26	2026-08-30	20	2	1	0	12	5	대장 참조	PASS, 채택 가능	full X-Wing X06 통합	measure-harness/2026-08-26_expAW_AT3_results.md	
experiment	AX	A	2026-08-26	2026-08-26	16	4	1	0	10	0	대장 참조	X06 채택	scalarmult +34.56%; X-Wing kg +16.11%, enc +10.83%	measure-harness/2026-08-26_expAX_results.md	
experiment	AY	A	2026-08-26	2026-08-30	15	2	1	0	7	5	대장 참조	X01/X02 후보의 새 분모	X06 뒤 field-op 분모 재측정	measure-harness/2026-08-26_expAY_results.md	
experiment	AZ	A	2026-08-26	2026-08-26	1	0	0	1	0	0	대장 참조	사전 설계/우선순위; 독립 결과서 없음	X01/X02 후보·게이트 정리	measure-harness/2026-08-26_expAZ_x01x02_prereg.md	
experiment	BA	B	2026-08-26	2026-08-30	20	2	1	0	8	9	대장 참조	null-slot 분석은 불가능 IPC 때문에 폐기	`umaal`+ALU 1 cycle 동시 발행	measure-harness/2026-08-26_expBA_results.md	
experiment	BB	B	2026-08-26	2026-08-30	36	2	1	1	10	21	대장 참조	micro gate PASS	`fe25519_sqr` 순수 재정렬 +14.80%	measure-harness/2026-08-26_expBB_results.md	
experiment	BC	B	2026-08-26	2026-08-30	16	2	1	0	8	5	대장 참조	채택	X02 full X-Wing +0.61/+2.17/+2.23%	measure-harness/2026-08-26_expBC_results.md	
experiment	BD	B	2026-08-26	2026-08-26	11	2	1	0	8	0	종료/실패 판정	실패	X01 1차 mul 재정렬 +3.81% <5%	measure-harness/2026-08-26_expBD_results.md	
experiment	BE	B	2026-08-26	2026-08-26	1	0	0	0	0	0	종료/실패 판정	종료; 독립 결과서 없음, T22에 통합	scalar Keccak K19 발행 여지 4.6%	measure-harness/2026-08-26_expBE_issue_bound_analysis.md	
experiment	BF	B	2026-08-26	2026-08-30	25	2	1	1	10	6	종료/실패 판정	gate 실패	K22 absorb cache	measure-harness/2026-08-26_expBF_results.md	
experiment	BG	B	2026-08-26	2026-08-26	8	0	1	1	6	0	종료/실패 판정	K22 종료, K31로 전환	K22 word-copy 개선도 gate 미달; K31 발견	measure-harness/2026-08-26_expBG_results.md	
experiment	BH	B	2026-08-26	2026-08-30	14	0	1	1	7	5	대장 참조	gate PASS, K31 채택	libc `memcpy`/`memset` 워드 교체	measure-harness/2026-08-26_expBH_results.md	
experiment	BI	B	2026-08-26	2026-08-30	21	0	1	1	9	5	대장 참조	정확성·대표값 PASS	채택 토글 제거 빌드	measure-harness/2026-08-26_expBI_results.md	
experiment	BJ	B	2026-08-26	2026-08-30	12	0	1	0	6	5	대장 참조	메모리 배치를 측정 규율로 승격	`.bss` 대 DTCM: Keccak 37,705.94 vs 5,505.81, 6.85×	measure-harness/2026-08-26_expBJ_results.md	
experiment	BK	B	2026-08-26	2026-08-30	14	0	1	1	7	5	종료/실패 판정	종료	K32 extract 교차 micro +17.57%, gate 미달	measure-harness/2026-08-26_expBK_results.md	
experiment	BL	B	2026-08-26	2026-08-30	18	0	1	0	8	9	대장 참조	발행 규칙 정본	shifted-operand ALU는 평 ALU와 동일, `bfi`는 1/cyc·페어링 0	measure-harness/2026-08-26_expBL_results.md	
experiment	BM	B	2026-08-26	2026-08-30	23	0	1	1	12	9	종료/실패 판정	당시 X01 종료 판정; BN이 다른 기준으로 후속 통합	X01-v2 평탄화의 사전 중립성 gate 미달	measure-harness/2026-08-26_expBM_results.md	
experiment	BN	B	2026-08-26	2026-08-30	15	0	1	1	8	5	대장 참조	X01 채택	`fe25519_mul_sched` full X-Wing 모두 개선	measure-harness/2026-08-26_expBN_results.md	
experiment	BO	B	2026-08-27	2026-08-30	6	0	0	0	1	5	보존 불완전/수치 인용 금지	실행 단계는 실재. 그러나 `EXPBO_JSON`/RAM `rep_cyc` 덤프·독립 결과서가 보존되지 않아 BO 숫자는 **미복원·인용 금지**; add/sub 현행 값은 AS/BQ 근거만 사용	ladder glue용 slots 662~665(add/sub/mul/sqr) 코드와 회수기, 여러 보드 로그의 `expBO done` 확인	measure-harness/artifacts/2026-08-27_expCJ/src/expBO_slots.inc	RAM rep_cyc/EXPBO_JSON 미보존; 수치 인용 금지
experiment	BP	B	2026-08-26	2026-08-26	1	0	0	0	0	0	호스트·정적·파생	종료; 통합 결과는 T22	1% 종료 기준; X03/X05 상한 0.8/0.39%	measure-harness/2026-08-26_expBP_ceiling_analysis.md	
experiment	BQ	B	2026-08-26	2026-08-26	1	0	0	0	0	0	호스트·정적·파생	종료; 통합 결과는 T22	1% 종료 기준; X03/X05 상한 0.8/0.39%	measure-harness/2026-08-26_expBQ_x03_ceiling.md	
experiment	BR	B	2026-08-26	2026-08-26	1	0	0	0	0	0	종료/실패 판정	K14/K15 재정렬 접근 종료	`vmov` 오분류 교정 후 재정렬 회수 평균 0.20%	measure-harness/2026-08-26_expBR_matacc_ceiling.md	
experiment	BS	B	2026-08-26	2026-08-30	13	0	1	1	6	5	종료/실패 판정	세 연산 모두 회귀, 종료	K21 matrix-XOF x4	measure-harness/2026-08-26_expBS_results.md	
experiment	BT	B	2026-08-26	2026-08-26	1	0	0	0	0	0	종료/실패 판정	scalar 회전 무료라 종료; 독립 결과서 없음	MVE 2-way Keccak	measure-harness/2026-08-26_expBT_k20k21_ceiling.md	
experiment	BU	B	2026-08-26	2026-08-30	21	0	1	0	7	8	대장 참조	절대 cycle 정본	draft-10 이동; 627,069/988,456/780,020 warm/1,406,887 cold	measure-harness/2026-08-26_expBU_draft10_results.md	
experiment	BV	B	2026-08-26	2026-08-30	18	0	1	0	8	9	대장 참조	합성 proxy 61.7%를 대체	scalar×MVE ALU 혼합 은닉률 100%	measure-harness/2026-08-26_expBV_results.md	
experiment	BW	B	2026-08-26	2026-08-30	18	0	0	0	7	11	대장 참조	부분 정확성 PASS; CM이 전량 대체	draft-10 vector 1 `ss` 전량, pk/ct 앞부분 일치	measure-harness/artifacts/2026-08-26_expBW/SHA256SUMS.txt	
experiment	BX	B	2026-08-26	2026-08-30	19	0	1	0	9	9	종료/실패 판정	K14/K15 재정렬 접근 종료	`vmov` 오분류 교정 후 재정렬 회수 평균 0.20%	measure-harness/2026-08-26_expBX_results.md	
experiment	BY	B	2026-08-26	2026-08-26	1	0	0	0	0	0	호스트·정적·파생	`파생`; objdump MVE 오분류 교정 포함	NTT/INTT scalar idle 96.0/95.8%, 평균 상한 3.89%	measure-harness/2026-08-26_expBY_stitch_ceiling.md	
experiment	BZ	B	2026-08-26	2026-08-30	17	0	0	0	8	9	대장 참조	T24 발행 규칙의 전단계; 독립 결과서 없음	MVE 2 cyc/instr 및 scalar×MVE pairing 표	measure-harness/artifacts/2026-08-26_expBZ/SHA256SUMS.txt	
experiment	CA	C	2026-08-26	2026-08-30	22	0	1	1	11	9	대장 참조	실물 stitching 가능성 최초 확인, 초기화 결함은 CD에서 교정	실제 NTT×Keccak extract 병합, 양쪽 출력 일치; 성능 gate 부분 성공	measure-harness/2026-08-26_expCA_results.md	
experiment	CB	C	2026-08-26	2026-08-30	19	0	0	1	9	9	대장 참조	T24 발행 규칙의 전단계; 독립 결과서 없음	MVE 2 cyc/instr 및 scalar×MVE pairing 표	measure-harness/2026-08-26_expCB_prereg.md	
experiment	CC	C	2026-08-27	2026-08-30	21	0	1	1	10	9	대장 참조	T24.2 현행 규칙으로 통합	scalar/MVE 연산·적재·저장 pairing 행렬 보강	measure-harness/2026-08-27_expCC_results.md	
experiment	CD	C	2026-08-27	2026-08-30	20	0	1	1	9	9	대장 참조	초기 CA/CB/CC `mm=0` 우연을 교정	q 초기화 누락을 발견·수정; lane 1~8 은닉 85.1→60.3%, 2% 공짜 용량 0	measure-harness/2026-08-27_expCD_results.md	
experiment	CE	C	2026-08-27	2026-08-30	20	0	1	1	9	9	대장 참조	메모리보다 명령 수가 원인; 적용 범위 제한	메모리 비율 0~32%에서 누출계수 평평; 약 0.34 cyc/삽입명령	measure-harness/2026-08-27_expCE_results.md	
experiment	CF	C	2026-08-27	2026-08-27	1	0	0	0	0	0	실보드/직접 측정	“스필도 0.34”는 추론. 후속 CG의 재물질화·스택풀 실측이 적용 한계를 확인	CA--CE 종합과 정적 레지스터 회계(호스트 14+게스트 5>14); 새 보드 측정 없음	measure-harness/2026-08-27_expCF_stitch_closing.md	
experiment	CG	C	2026-08-27	2026-08-30	13	0	1	0	2	9	종료/실패 판정	실물 X25519 stitching 종료; cycle gate 6개 실패	실제 `fe25519_sqr_bb` guest allocation 정확성 PASS, 병합은 +9.9~15.1% 회귀	measure-harness/2026-08-27_expCG_results.md	
experiment	CH	C	2026-08-27	2026-08-27	2	0	1	0	0	1	종료/실패 판정	실물 X25519 stitching 종료; cycle gate 6개 실패	실제 `fe25519_sqr_bb` guest allocation 정확성 PASS, 병합은 +9.9~15.1% 회귀	measure-harness/2026-08-27_expCG_results.md	
experiment	CI	C	2026-08-27	2026-08-27	2	0	1	0	0	1	종료/실패 판정	실물 X25519 stitching 종료; cycle gate 6개 실패	실제 `fe25519_sqr_bb` guest allocation 정확성 PASS, 병합은 +9.9~15.1% 회귀	measure-harness/2026-08-27_expCG_results.md	
experiment	CJ	C	2026-08-27	2026-08-30	219	2	1	1	166	24	대장 참조	2-run 정본; CY 5-run이 후속 갱신	draft-10 동일-ELF 누적: 25.967/20.249/11.224/18.298%	measure-harness/2026-08-27_expCJ_results.md	
experiment	CK	C	2026-08-27	2026-08-27	21	13	1	0	7	0	대장 참조	F/U는 역사 동시특성화; CL이 분류를 교정, 주 F/U 집합에는 미포함	AF 동결 이미지 F/U 명령 단일스텝·슬롯 회계	measure-harness/2026-08-27_expCK_results.md	
experiment	CL	C	2026-08-28	2026-08-28	7	4	1	0	0	1	대장 참조	클래스 벡터 교체; 총수·기본 산술 불변	`bic.w` branch 오분류 교정; 동적 총명령 재감사	measure-harness/2026-08-28_expCL_results.md	
experiment	CM	C	2026-08-28	2026-08-28	14	1	1	1	11	0	대장 참조	정확성 정본; 큰 vector 때문에 cycle은 성능 정본에 미사용	draft-10 공식 pk 1,216B, ct 1,120B, ss·dec 전량 일치	measure-harness/2026-08-28_expCM_d10_full_vector_results.md	
experiment	CN	C	2026-08-28	2026-08-28	11	0	1	0	10	0	대장 참조	단일 설정 결정성 PASS; seed 민감도는 CT가 별도 제한	CP-SAT seed42/worker1 두 출력 바이트 동일	measure-harness/2026-08-28_expCN_cp_sat_repro_results.md	
experiment	CO	C	2026-08-28	2026-08-30	25	2	1	1	12	5	대장 참조	직접 문맥에서도 음성; flash/ITCM 절대값 혼합 금지	in-context checkpoint; 1-job 은닉률 −28~-29%, ITCM 대조 −15.2%	measure-harness/2026-08-28_expCO_results.md	
experiment	CP	C	2026-08-28	2026-08-30	43	3	1	1	21	5	미측정/부분 미측정	범위 확장해도 음성; 꼬리 원인은 미측정	배칭 3→5, 커버리지 21→35%; H −29.0/−26.1%	measure-harness/2026-08-28_expCP_results.md	
experiment	CQ	C	2026-08-28	2026-08-28	8	1	1	0	5	1	미측정/부분 미측정	reset 재현성 확인; 전원 재인가·2번째 보드는 미측정	reset 부팅 5회, 셀 폭 최대 0.087%, 효과 폭 0.3~0.7%	measure-harness/2026-08-28_expCQ_results.md	
experiment	CR	C	2026-08-28	2026-08-30	25	2	1	1	8	9	대장 참조	532k Fiat 교체비를 양보비로 부르는 해석 반증	Lenngren mul r11 양보 157.03→150.94, 세금 −3.88%	measure-harness/2026-08-28_expCR_results.md	
experiment	CS	C	2026-08-28	2026-08-30	45	4	1	1	15	15	미측정/부분 미측정	음성; 전체 alias-safe solver 성능은 미측정	phase-0 solver: 원시 스케줄 이득은 있으나 변환 세금이 더 큼; U_s가 U보다 654~734 느림	measure-harness/2026-08-28_expCS_results.md	
experiment	CT	C	2026-08-28	2026-08-28	20	0	1	1	18	0	미측정/부분 미측정	seed 불변 가설 기각; `호스트`, 보드 미측정	B-mid seed별 목적 82×4, 83×3, 84×1	measure-harness/2026-08-28_expCT_results.md	
experiment	CU	C	2026-08-28	2026-08-30	13	0	1	1	3	4	대장 참조	run 간 min 혼합 표 철회, run2 정합표와 6-run 범위 채택	같은-ELF leave-one-out 6회; run 내부 합으로 잔차 0.001~8.6%	measure-harness/2026-08-28_expCU_CV_CW_CX_results.md	
