row_kind	source_item	related_experiments	data_family	original_denominator	standard_denominator_ids	standard_denominator	reference_cycles	operation_scope	conversion_status	conversion_formula	normalized_value_or_scope	comparability_group	allowed_comparison	forbidden_comparison	evidence	notes
standard			표준 분모 레지스트리		D24-KG	X-Wing 2024/039 keygen 1회 전체	794198	keygen	definition			E2E-2024-KG	동일 comparability_group의 동일 연산·빌드·cache 상태	draft·ELF·연산·warm/cold를 넘는 직접 비율 비교	분모_정의_통일.md §7; 논문_데이터_표.md 분모 규칙	고정 cycle이 빈 분모는 각 paired/local 셀의 실측값을 사용
standard			표준 분모 레지스트리		D24-ENC	X-Wing 2024/039 encaps 1회 전체	1175479	encaps	definition			E2E-2024-ENC	동일 comparability_group의 동일 연산·빌드·cache 상태	draft·ELF·연산·warm/cold를 넘는 직접 비율 비교	분모_정의_통일.md §7; 논문_데이터_표.md 분모 규칙	고정 cycle이 빈 분모는 각 paired/local 셀의 실측값을 사용
standard			표준 분모 레지스트리		D24-DEC	X-Wing 2024/039 decaps 1회 전체	868772	decaps	definition			E2E-2024-DEC	동일 comparability_group의 동일 연산·빌드·cache 상태	draft·ELF·연산·warm/cold를 넘는 직접 비율 비교	분모_정의_통일.md §7; 논문_데이터_표.md 분모 규칙	고정 cycle이 빈 분모는 각 paired/local 셀의 실측값을 사용
standard			표준 분모 레지스트리		D10-KG	X-Wing draft-10 keygen 1회 전체	627069	keygen	definition			E2E-D10-KG	동일 comparability_group의 동일 연산·빌드·cache 상태	draft·ELF·연산·warm/cold를 넘는 직접 비율 비교	분모_정의_통일.md §7; 논문_데이터_표.md 분모 규칙	고정 cycle이 빈 분모는 각 paired/local 셀의 실측값을 사용
standard			표준 분모 레지스트리		D10-ENC	X-Wing draft-10 encaps 1회 전체	988456	encaps	definition			E2E-D10-ENC	동일 comparability_group의 동일 연산·빌드·cache 상태	draft·ELF·연산·warm/cold를 넘는 직접 비율 비교	분모_정의_통일.md §7; 논문_데이터_표.md 분모 규칙	고정 cycle이 빈 분모는 각 paired/local 셀의 실측값을 사용
standard			표준 분모 레지스트리		D10-DEC-W	X-Wing draft-10 decaps warm 1회 전체	780020	decaps warm	definition			E2E-D10-DEC-W	동일 comparability_group의 동일 연산·빌드·cache 상태	draft·ELF·연산·warm/cold를 넘는 직접 비율 비교	분모_정의_통일.md §7; 논문_데이터_표.md 분모 규칙	고정 cycle이 빈 분모는 각 paired/local 셀의 실측값을 사용
standard			표준 분모 레지스트리		D10-DEC-C	X-Wing draft-10 decaps cold 1회 전체	1406887	decaps cold	definition			E2E-D10-DEC-C	동일 comparability_group의 동일 연산·빌드·cache 상태	draft·ELF·연산·warm/cold를 넘는 직접 비율 비교	분모_정의_통일.md §7; 논문_데이터_표.md 분모 규칙	고정 cycle이 빈 분모는 각 paired/local 셀의 실측값을 사용
standard			표준 분모 레지스트리		D-PAIR-A	같은 ELF·같은 연산의 A 기준 셀		연산별; warm/cold 분리	definition			PAIR-A/{ELF}/{operation}/{cache}	동일 comparability_group의 동일 연산·빌드·cache 상태	draft·ELF·연산·warm/cold를 넘는 직접 비율 비교	분모_정의_통일.md §7; 논문_데이터_표.md 분모 규칙	고정 cycle이 빈 분모는 각 paired/local 셀의 실측값을 사용
standard			표준 분모 레지스트리		D-ATTR-AB	같은 run·연산의 전체 A−B 감소 cycle		축별 기여 비중; warm/cold 분리	definition			ATTR-AB/{run}/{operation}/{cache}	동일 comparability_group의 동일 연산·빌드·cache 상태	draft·ELF·연산·warm/cold를 넘는 직접 비율 비교	분모_정의_통일.md §7; 논문_데이터_표.md 분모 규칙	고정 cycle이 빈 분모는 각 paired/local 셀의 실측값을 사용
standard			표준 분모 레지스트리		D-PAIR-F	같은 재플래시·순서쌍의 F 기준 셀		연산별 F/U	definition			PAIR-F/{reflash}/{operation}	동일 comparability_group의 동일 연산·빌드·cache 상태	draft·ELF·연산·warm/cold를 넘는 직접 비율 비교	분모_정의_통일.md §7; 논문_데이터_표.md 분모 규칙	고정 cycle이 빈 분모는 각 paired/local 셀의 실측값을 사용
